,invoice_no,category,item,quantity,price,customer_id,date_key,payment_method,card_type,shopping_mall,city,province_state,country,first_name,last_name,gender,age,dob,is_churned,days_since_last_purchase,tenure,discount_used,last_purchase_date,purchase_frequency,avg_purchase_value,day_of_week,month,year,quarter,is_holiday,total_spent,purchase_count
3213,103213,Skin Care,Moisturizer,4,76.21,601,2021-01-29,Google Pay,,The Summit,Birmingham,Alabama,US,Amy,Moore,Male,42.0,1982-08-28,1.0,933.0,2.0,0.0,2021-10-27,6.0,51.44,Friday,January,2021,2021Q1,0,407.09999999999997,14
3214,103214,Hair Care,Conditioner,1,30.89,111,2023-09-23,Debit Card - Visa,Visa,The Florida Mall,Orlando,Florida,US,Erin,Black,Male,67.0,1957-06-10,0.0,533.0,3.0,1.0,2021-04-09,20.0,458.5,Saturday,September,2023,2023Q3,1,536.47,14
3215,103215,Oral Care,Mouthwash,1,4.26,144,2024-06-09,Credit Card - MasterCard,MasterCard,Westfield San Francisco Centre,San Francisco,California,US,William,Griffin,Other,50.0,1974-04-01,0.0,144.0,8.0,1.0,2022-02-21,43.0,409.59,Sunday,June,2024,2024Q2,1,309.95,11
3216,103216,Skin Care,Sunscreen,4,45.66,31,2024-10-10,Credit Card - MasterCard,MasterCard,The Florida Mall,Orlando,Florida,US,Kim,Turner,Female,70.0,1955-01-24,1.0,696.0,2.0,0.0,2023-07-11,42.0,398.29,Thursday,October,2024,2024Q4,0,418.64,14
3217,103217,Hair Care,Shampoo,2,17.62,236,2022-09-14,Credit Card - AMEX,AMEX,Aventura Mall,Miami,Florida,US,Andrew,Lewis,Other,30.0,1994-07-18,1.0,1498.0,4.0,1.0,2024-03-23,35.0,286.12,Wednesday,September,2022,2022Q3,0,236.99,8
3218,103218,Skin Care,Sunscreen,1,83.72,867,2021-04-11,PayPal,,Bayshore Shopping Centre,Ottawa,Ontario,Canada,Ryan,Beard,Other,65.0,1959-08-13,1.0,1460.0,5.0,0.0,2024-10-23,40.0,446.44,Sunday,April,2021,2021Q2,1,802.62,17
3219,103219,Oral Care,Toothpaste,4,4.65,352,2021-05-05,Credit Card - MasterCard,MasterCard,Oakbrook Center,Oak Brook,Illinois,US,Michael,Mahoney,Other,18.0,2007-02-06,0.0,844.0,10.0,0.0,2025-02-05,5.0,488.23,Wednesday,May,2021,2021Q2,0,422.25,10
3220,103220,Hair Care,Shampoo,3,23.68,974,2020-03-16,Credit Card - Visa,Visa,Westfield Annapolis,Annapolis,Maryland,US,Joshua,Hoffman,Other,22.0,2003-01-13,1.0,1451.0,1.0,1.0,2023-12-10,6.0,156.51,Monday,March,2020,2020Q1,0,254.38,11
3221,103221,Skin Care,Face Wash,3,11.8,214,2023-02-05,Credit Card - Visa,Visa,Roosevelt Field,Garden City,New York,US,Cynthia,Lynch,Female,54.0,1971-01-25,1.0,84.0,10.0,0.0,2023-04-19,41.0,107.1,Sunday,February,2023,2023Q1,1,291.45,11
3222,103222,Hair Care,Conditioner,3,40.52,172,2023-12-10,Cash,,Tysons Corner Center,McLean,Virginia,US,Robert,Escobar,Male,30.0,1994-08-19,1.0,254.0,6.0,0.0,2022-01-25,49.0,479.64,Sunday,December,2023,2023Q4,1,124.67,5
3223,103223,Body Care and Hygiene,Body Lotion,3,10.08,198,2022-03-15,BNPL (Buy Now, Pay Later),The Galleria at Fort Lauderdale,Fort Lauderdale,Florida,US,David,Hess,Other,25.0,2000-01-16,1.0,1214.0,10.0,0.0,2022-01-11,28.0,358.3,Tuesday,March,2022,2022Q1,0,313.36,7
3224,103224,Skin Care,Face Wash,4,48.12,440,2022-05-24,Debit Card - MasterCard,MasterCard,Arndale Centre,Manchester,Greater Manchester,UK,Robert,Vasquez,Male,52.0,1972-05-02,0.0,1749.0,6.0,1.0,2020-05-31,45.0,116.31,Tuesday,May,2022,2022Q2,0,252.62,7
3225,103225,Hair Care,Conditioner,3,47.8,746,2020-06-25,Debit Card - Visa,Visa,The Trafford Centre,Manchester,Greater Manchester,UK,Christina,Ingram,Male,20.0,2004-08-02,0.0,936.0,2.0,1.0,2021-08-27,14.0,343.1,Thursday,June,2020,2020Q2,0,271.93,8
3226,103226,Skin Care,Face Wash,1,83.19,952,2024-10-10,Debit Card - MasterCard,MasterCard,The Trafford Centre,Manchester,Greater Manchester,UK,Nancy,Morgan,Female,46.0,1978-08-02,0.0,187.0,10.0,0.0,2020-12-22,9.0,463.77,Thursday,October,2024,2024Q4,0,554.89,17
3227,103227,Skin Care,Sunscreen,3,91.87,124,2023-03-22,Cash,,South Coast Plaza,Costa Mesa,California,US,Edward,Hernandez,Other,30.0,1994-05-28,0.0,580.0,10.0,0.0,2023-01-27,31.0,400.09,Wednesday,March,2023,2023Q1,0,336.78000000000003,8
3228,103228,Hair Care,Hair Oil,2,19.37,59,2021-02-15,Credit Card - AMEX,AMEX,Westfield Annapolis,Annapolis,Maryland,US,Erika,Werner,Female,56.0,1968-07-22,1.0,1029.0,7.0,0.0,2021-04-11,35.0,17.14,Monday,February,2021,2021Q1,0,302.15,11
3229,103229,Skin Care,Lip Balm,2,81.68,105,2020-01-03,Apple Pay,,Meadowhall,Sheffield,South Yorkshire,UK,Ryan,Hayes,Male,37.0,1987-06-25,1.0,1181.0,7.0,0.0,2020-12-29,16.0,320.14,Friday,January,2020,2020Q1,0,257.6,11
3230,103230,Skin Care,Sunscreen,3,14.53,218,2022-06-17,Credit Card - Visa,Visa,Meadowhall,Sheffield,South Yorkshire,UK,Arthur,Delgado,Other,64.0,1960-12-27,0.0,819.0,2.0,1.0,2022-12-15,48.0,251.91,Friday,June,2022,2022Q2,0,249.5,11
3231,103231,Hair Care,Shampoo,3,41.75,801,2023-08-16,Credit Card - AMEX,AMEX,The Domain,Austin,Texas,US,Steven,Austin,Other,65.0,1960-01-03,0.0,326.0,7.0,1.0,2023-01-03,24.0,478.83,Wednesday,August,2023,2023Q3,0,455.93,13
3232,103232,Skin Care,Moisturizer,2,45.77,460,2022-05-18,Apple Pay,,Lakeside Shopping Centre,Thurrock,Essex,UK,Jesse,Hernandez,Other,40.0,1984-10-28,1.0,1754.0,2.0,0.0,2022-07-30,10.0,12.36,Wednesday,May,2022,2022Q2,0,339.74,11
3233,103233,Skin Care,Sunscreen,3,43.8,824,2024-03-04,PayPal,,International Plaza and Bay Street,Tampa,Florida,US,Melissa,Copeland,Male,43.0,1981-03-11,0.0,1072.0,5.0,0.0,2024-09-04,26.0,95.03,Monday,March,2024,2024Q1,0,290.84,11
3234,103234,Body Care and Hygiene,Deodorant,2,7.19,347,2021-10-31,PayPal,,CambridgeSide,Cambridge,Massachusetts,US,Tyler,Campbell,Female,40.0,1984-06-29,0.0,611.0,10.0,1.0,2020-11-21,4.0,415.35,Sunday,October,2021,2021Q4,1,196.23000000000002,9
3235,103235,Skin Care,Face Wash,1,58.35,200,2023-12-28,Debit Card - MasterCard,MasterCard,The Shops at Columbus Circle,New York,New York,US,Bryan,Baxter,Female,36.0,1988-04-19,0.0,100.0,8.0,1.0,2021-11-27,27.0,403.01,Thursday,December,2023,2023Q4,0,393.24,11
3236,103236,Skin Care,Moisturizer,3,88.97,374,2024-02-11,Debit Card - Visa,Visa,The Shops at Columbus Circle,New York,New York,US,Ellen,Davis,Female,59.0,1965-08-15,1.0,1594.0,4.0,0.0,2024-05-21,22.0,18.4,Sunday,February,2024,2024Q1,1,359.98,9
3237,103237,Skin Care,Sunscreen,3,15.31,175,2024-10-10,Google Pay,,Bloor-Yorkville,Toronto,Ontario,Canada,April,Banks,Male,42.0,1982-03-03,1.0,1405.0,2.0,1.0,2022-03-20,47.0,6.89,Thursday,October,2024,2024Q4,0,419.49,16
3238,103238,Hair Care,Shampoo,3,25.02,870,2024-06-06,Credit Card - AMEX,AMEX,Arndale Centre,Manchester,Greater Manchester,UK,Angela,Garcia,Female,37.0,1987-10-26,0.0,1372.0,7.0,1.0,2023-01-15,45.0,35.76,Thursday,June,2024,2024Q2,0,335.53000000000003,15
3239,103239,Oral Care,Mouthwash,3,17.83,901,2021-11-27,Cash,,The Trafford Centre,Manchester,Greater Manchester,UK,Rebecca,Thomas,Male,58.0,1966-07-15,0.0,486.0,4.0,1.0,2022-10-03,2.0,398.55,Saturday,November,2021,2021Q4,1,310.4,9
3240,103240,Skin Care,Lip Balm,1,96.32,764,2023-03-31,BNPL (Buy Now, Pay Later),Bloor-Yorkville,Toronto,Ontario,Canada,Terry,Bauer,Male,27.0,1997-12-12,1.0,1310.0,3.0,1.0,2024-09-19,34.0,421.68,Friday,March,2023,2023Q1,0,231.72,7
3241,103241,Skin Care,Face Wash,1,95.19,890,2023-07-23,Apple Pay,,CambridgeSide,Cambridge,Massachusetts,US,Natalie,Camacho,Male,18.0,2006-04-13,1.0,1746.0,10.0,1.0,2022-03-29,36.0,338.12,Sunday,July,2023,2023Q3,1,313.21999999999997,9
3242,103242,Skin Care,Moisturizer,1,39.92,353,2024-12-04,Apple Pay,,Bayshore Shopping Centre,Ottawa,Ontario,Canada,Scott,Chang,Female,34.0,1990-10-25,1.0,813.0,8.0,0.0,2022-06-20,27.0,148.66,Wednesday,December,2024,2024Q4,0,458.74,13
3243,103243,Skin Care,Face Wash,3,12.22,837,2024-04-03,Credit Card - AMEX,AMEX,Cherry Creek Shopping Center,Denver,Colorado,US,Melissa,Jones,Other,19.0,2006-01-04,0.0,1434.0,1.0,1.0,2022-08-30,19.0,244.08,Wednesday,April,2024,2024Q2,0,313.86,13
3244,103244,Skin Care,Face Wash,4,74.3,647,2024-02-12,BNPL (Buy Now, Pay Later),The Oracle,Reading,Berkshire,UK,Amanda,Medina,Other,67.0,1957-07-20,1.0,1732.0,9.0,1.0,2020-01-16,15.0,136.99,Monday,February,2024,2024Q1,0,300.37,10
3245,103245,Body Care and Hygiene,Hand Sanitizer,3,14.77,646,2024-11-19,PayPal,,Mall of America,Bloomington,Minnesota,US,Thomas,Bates,Other,28.0,1997-01-10,0.0,1624.0,10.0,1.0,2022-03-31,37.0,486.99,Tuesday,November,2024,2024Q4,0,220.4,8
3246,103246,Body Care and Hygiene,Deodorant,3,27.03,164,2024-06-26,BNPL (Buy Now, Pay Later),The Gardens Mall,Palm Beach Gardens,Florida,US,Alexander,Mccormick,Male,34.0,1990-04-10,0.0,1198.0,9.0,1.0,2020-12-08,11.0,463.54,Wednesday,June,2024,2024Q2,0,517.0,15
3247,103247,Hair Care,Hair Oil,1,12.43,778,2024-05-21,Cash,,The Galleria,Houston,Texas,US,Steven,Espinoza,Male,70.0,1955-01-14,0.0,489.0,10.0,1.0,2025-01-16,46.0,161.7,Tuesday,May,2024,2024Q2,0,198.92000000000002,9
3248,103248,Oral Care,Toothpaste,2,12.15,577,2022-09-09,BNPL (Buy Now, Pay Later),Cherry Creek Shopping Center,Denver,Colorado,US,Michael,Alvarez,Male,54.0,1970-10-08,1.0,990.0,4.0,1.0,2022-01-09,44.0,167.82,Friday,September,2022,2022Q3,0,275.19,10
3249,103249,Oral Care,Toothpaste,2,19.26,386,2021-02-02,PayPal,,Stanford Shopping Center,Palo Alto,California,US,Jeffrey,Johnson,Other,69.0,1955-06-30,0.0,125.0,3.0,0.0,2020-02-21,26.0,149.38,Tuesday,February,2021,2021Q1,0,304.06,11
3250,103250,Skin Care,Face Wash,4,62.26,112,2022-01-03,Credit Card - Visa,Visa,Oakbrook Center,Oak Brook,Illinois,US,Amanda,Webster,Other,44.0,1980-04-14,1.0,1346.0,10.0,0.0,2021-06-13,11.0,243.42,Monday,January,2022,2022Q1,0,311.34000000000003,9
3251,103251,Oral Care,Mouthwash,4,6.54,385,2021-07-12,PayPal,,South Coast Plaza,Costa Mesa,California,US,Christopher,Coffey,Other,30.0,1994-11-09,1.0,1625.0,1.0,1.0,2020-10-03,44.0,491.62,Monday,July,2021,2021Q3,0,231.13,10
3252,103252,Oral Care,Mouthwash,3,6.26,882,2023-01-24,PayPal,,Brookfield Place,New York,New York,US,Anne,Murphy,Male,23.0,2001-07-17,1.0,825.0,3.0,0.0,2023-01-11,15.0,37.14,Tuesday,January,2023,2023Q1,0,291.85999999999996,12
3253,103253,Skin Care,Face Wash,1,89.77,260,2023-08-11,Debit Card - Visa,Visa,NorthPark Center,Dallas,Texas,US,Margaret,Wood,Other,61.0,1963-11-12,1.0,970.0,1.0,1.0,2024-09-25,43.0,423.66,Friday,August,2023,2023Q3,0,443.06,13
3254,103254,Body Care and Hygiene,Deodorant,4,6.69,171,2021-07-23,Debit Card - MasterCard,MasterCard,Brookfield Place,New York,New York,US,Nicole,Burns,Female,34.0,1990-11-06,0.0,811.0,4.0,1.0,2022-04-19,25.0,390.67,Friday,July,2021,2021Q3,0,90.87,6
3255,103255,Skin Care,Sunscreen,2,43.27,167,2024-02-10,BNPL (Buy Now, Pay Later),The Americana at Brand,Glendale,California,US,Tricia,Potts,Female,34.0,1990-12-08,0.0,479.0,1.0,1.0,2023-07-24,28.0,466.13,Saturday,February,2024,2024Q1,1,219.69,10
3256,103256,Oral Care,Toothpaste,1,2.14,930,2020-07-07,Google Pay,,Yorkdale Shopping Centre,Toronto,Ontario,Canada,Krystal,Smith,Female,43.0,1981-04-16,0.0,1672.0,1.0,1.0,2021-04-28,34.0,92.54,Tuesday,July,2020,2020Q3,0,402.57,14
3257,103257,Body Care and Hygiene,Hand Sanitizer,3,18.63,483,2024-04-28,Google Pay,,Lenox Square,Atlanta,Georgia,US,Robert,King,Other,41.0,1983-07-23,1.0,1531.0,5.0,1.0,2021-06-23,49.0,491.4,Sunday,April,2024,2024Q2,1,140.93,7
3258,103258,Oral Care,Toothpaste,3,2.95,707,2021-08-17,PayPal,,Tysons Corner Center,McLean,Virginia,US,Christopher,George,Male,24.0,2000-12-30,0.0,720.0,6.0,1.0,2022-06-24,49.0,293.42,Tuesday,August,2021,2021Q3,0,242.18,9
3259,103259,Oral Care,Mouthwash,4,15.6,451,2020-03-29,Credit Card - MasterCard,MasterCard,Westfield San Francisco Centre,San Francisco,California,US,Adam,Copeland,Male,51.0,1974-02-23,0.0,979.0,7.0,1.0,2021-08-19,35.0,461.17,Sunday,March,2020,2020Q1,1,238.67000000000002,10
3260,103260,Body Care and Hygiene,Body Lotion,4,18.32,24,2024-06-28,Credit Card - Visa,Visa,Town Center at Boca Raton,Boca Raton,Florida,US,Rachel,Durham,Female,68.0,1956-08-19,0.0,976.0,1.0,0.0,2021-09-09,2.0,434.4,Friday,June,2024,2024Q2,0,450.93,14
3261,103261,Skin Care,Face Wash,2,24.64,292,2023-11-01,Debit Card - Visa,Visa,The Grove,Los Angeles,California,US,Daniel,Mendoza,Other,25.0,1999-09-30,0.0,667.0,1.0,0.0,2024-06-22,42.0,288.17,Wednesday,November,2023,2023Q4,0,72.76,5
3262,103262,Hair Care,Conditioner,4,16.92,320,2021-02-03,Cash,,The Florida Mall,Orlando,Florida,US,Douglas,Mcdowell,Female,69.0,1956-01-01,0.0,885.0,5.0,0.0,2025-01-09,27.0,387.42,Wednesday,February,2021,2021Q1,0,340.4,9
3263,103263,Hair Care,Hair Oil,1,46.77,117,2021-12-24,Google Pay,,Town Center at Boca Raton,Boca Raton,Florida,US,Rebecca,Barnes,Other,45.0,1979-06-23,1.0,851.0,4.0,0.0,2021-01-05,47.0,93.86,Friday,December,2021,2021Q4,0,309.51,11
3264,103264,Body Care and Hygiene,Deodorant,1,9.52,538,2020-03-19,Cash,,Mall of America,Bloomington,Minnesota,US,Alan,Rios,Other,27.0,1997-08-19,0.0,16.0,9.0,1.0,2022-06-06,37.0,320.97,Thursday,March,2020,2020Q1,0,455.15,17
3265,103265,Skin Care,Sunscreen,1,78.85,380,2024-01-09,Credit Card - AMEX,AMEX,Metrocentre,Gateshead,Tyne and Wear,UK,Anne,Saunders,Female,59.0,1965-05-06,0.0,1271.0,4.0,1.0,2022-11-01,24.0,360.1,Tuesday,January,2024,2024Q1,0,490.86,16
3266,103266,Hair Care,Shampoo,1,16.89,545,2023-04-29,Debit Card - Visa,Visa,Town Center at Boca Raton,Boca Raton,Florida,US,Wesley,Williams,Other,31.0,1993-08-08,1.0,307.0,8.0,0.0,2020-05-17,34.0,392.46,Saturday,April,2023,2023Q2,1,244.5,10
3267,103267,Skin Care,Moisturizer,4,94.02,497,2021-05-20,Cash,,NorthPark Center,Dallas,Texas,US,Dominic,Jones,Female,57.0,1967-06-18,1.0,699.0,9.0,1.0,2022-03-10,48.0,443.63,Thursday,May,2021,2021Q2,0,368.34000000000003,9
3268,103268,Oral Care,Toothpaste,1,19.66,903,2022-11-08,Debit Card - Visa,Visa,Pheasant Lane Mall,Nashua,New Hampshire,US,Dale,Jackson,Female,28.0,1996-10-11,1.0,1252.0,9.0,1.0,2020-08-15,40.0,22.68,Tuesday,November,2022,2022Q4,0,516.31,19
3269,103269,Hair Care,Hair Oil,3,33.54,874,2022-12-22,Cash,,King of Prussia Mall,Philadelphia,Pennsylvania,US,Tammy,Williams,Male,49.0,1975-11-17,0.0,1150.0,5.0,0.0,2020-11-29,18.0,328.61,Thursday,December,2022,2022Q4,0,203.56,10
3270,103270,Skin Care,Sunscreen,2,59.43,730,2022-07-08,Debit Card - MasterCard,MasterCard,SouthPark,Charlotte,North Carolina,US,Hayley,Baker,Female,42.0,1982-09-12,1.0,1478.0,1.0,1.0,2025-02-06,34.0,40.2,Friday,July,2022,2022Q3,0,223.02,11
3271,103271,Oral Care,Mouthwash,2,10.72,67,2022-11-13,Debit Card - MasterCard,MasterCard,Park Meadows,Lone Tree,Colorado,US,Lisa,Kidd,Female,38.0,1986-05-12,1.0,1294.0,9.0,0.0,2021-10-02,32.0,424.82,Sunday,November,2022,2022Q4,1,190.97,6
3272,103272,Oral Care,Toothpaste,3,7.87,854,2025-01-12,Google Pay,,The Mall at Millenia,Orlando,Florida,US,Judith,Valentine,Other,63.0,1961-05-09,1.0,338.0,9.0,1.0,2021-12-28,6.0,260.99,Sunday,January,2025,2025Q1,1,302.21,13
3273,103273,Body Care and Hygiene,Hand Sanitizer,4,14.88,616,2025-01-17,Apple Pay,,The Mall in Columbia,Columbia,Maryland,US,Jane,Berry,Male,69.0,1955-03-15,1.0,1408.0,4.0,0.0,2023-01-09,48.0,96.6,Friday,January,2025,2025Q1,0,160.54,7
3274,103274,Oral Care,Toothpaste,3,5.45,748,2022-08-04,Cash,,The Mall at Short Hills,Short Hills,New Jersey,US,Harry,Cooke,Male,35.0,1989-07-25,0.0,87.0,1.0,1.0,2020-07-15,27.0,308.48,Thursday,August,2022,2022Q3,0,305.31,15
3275,103275,Hair Care,Conditioner,2,33.94,589,2020-02-21,Apple Pay,,The Domain,Austin,Texas,US,Erik,Marshall,Female,48.0,1976-06-12,1.0,1151.0,2.0,0.0,2020-04-15,1.0,107.29,Friday,February,2020,2020Q1,0,481.9,15
3276,103276,Oral Care,Mouthwash,4,16.25,439,2020-06-04,Google Pay,,Santa Monica Place,Santa Monica,California,US,Steve,Ryan,Male,42.0,1982-11-28,1.0,636.0,6.0,0.0,2021-06-06,46.0,263.65,Thursday,June,2020,2020Q2,0,418.23,13
3277,103277,Body Care and Hygiene,Hand Sanitizer,1,7.03,794,2023-02-11,PayPal,,Westfield Stratford City,London,England,UK,Ashley,Adams,Other,19.0,2006-02-06,1.0,1652.0,8.0,1.0,2021-02-15,42.0,174.22,Saturday,February,2023,2023Q1,1,134.54,5
3278,103278,Oral Care,Toothpaste,2,19.08,755,2021-04-10,Apple Pay,,Brookfield Place,New York,New York,US,Eric,Rocha,Female,53.0,1971-10-31,1.0,157.0,10.0,1.0,2020-10-29,25.0,40.17,Saturday,April,2021,2021Q2,1,421.0,13
3279,103279,Skin Care,Face Wash,4,16.95,385,2021-09-05,Credit Card - Visa,Visa,Bellevue Square,Bellevue,Washington,US,Christopher,Coffey,Other,30.0,1994-11-09,1.0,1625.0,1.0,1.0,2020-10-03,44.0,491.62,Sunday,September,2021,2021Q3,1,231.13,10
3280,103280,Oral Care,Mouthwash,4,12.31,880,2021-06-23,PayPal,,The Summit,Birmingham,Alabama,US,David,Richardson,Other,69.0,1955-12-10,0.0,1092.0,7.0,0.0,2022-12-10,30.0,277.61,Wednesday,June,2021,2021Q2,0,328.77,12
3281,103281,Skin Care,Lip Balm,4,95.97,78,2024-08-18,Google Pay,,Bloor-Yorkville,Toronto,Ontario,Canada,Cynthia,Knox,Other,42.0,1982-03-02,1.0,1386.0,8.0,1.0,2021-11-09,47.0,498.95,Sunday,August,2024,2024Q3,1,294.1,10
3282,103282,Hair Care,Shampoo,4,15.23,618,2023-12-30,Credit Card - Visa,Visa,Cherry Creek Shopping Center,Denver,Colorado,US,Deanna,Morton,Female,18.0,2006-10-06,0.0,511.0,3.0,0.0,2020-04-02,31.0,170.4,Saturday,December,2023,2023Q4,1,910.57,19
3283,103283,Hair Care,Shampoo,1,38.76,111,2022-08-03,BNPL (Buy Now, Pay Later),Perimeter Mall,Atlanta,Georgia,US,Erin,Black,Male,67.0,1957-06-10,0.0,533.0,3.0,1.0,2021-04-09,20.0,458.5,Wednesday,August,2022,2022Q3,0,536.47,14
3284,103284,Oral Care,Toothpaste,4,9.79,889,2024-03-10,Apple Pay,,Westfield Stratford City,London,England,UK,Karen,Jennings,Female,42.0,1982-04-01,0.0,1027.0,7.0,0.0,2021-09-08,20.0,236.42,Sunday,March,2024,2024Q1,1,193.54,7
3285,103285,Body Care and Hygiene,Body Lotion,1,5.42,559,2021-05-20,Cash,,Roosevelt Field,Garden City,New York,US,Judith,Brown,Female,19.0,2005-06-15,0.0,1689.0,3.0,0.0,2021-01-08,10.0,85.41,Thursday,May,2021,2021Q2,0,324.95,10
3286,103286,Hair Care,Shampoo,3,26.72,552,2021-04-12,BNPL (Buy Now, Pay Later),The Florida Mall,Orlando,Florida,US,Harry,Christensen,Female,52.0,1972-03-03,0.0,1139.0,3.0,0.0,2024-03-25,50.0,170.97,Monday,April,2021,2021Q2,0,367.34000000000003,11
3287,103287,Skin Care,Moisturizer,3,32.36,543,2023-06-27,PayPal,,The Streets at Southpoint,Durham,North Carolina,US,Jose,Steele,Female,50.0,1974-12-09,1.0,1362.0,7.0,0.0,2023-05-09,15.0,96.27,Tuesday,June,2023,2023Q2,0,222.45,7
3288,103288,Skin Care,Lip Balm,1,82.03,322,2023-09-23,BNPL (Buy Now, Pay Later),Scottsdale Fashion Square,Scottsdale,Arizona,US,Brian,Barnett,Other,42.0,1982-10-27,1.0,1090.0,4.0,1.0,2023-05-03,31.0,20.47,Saturday,September,2023,2023Q3,1,380.53,11
3289,103289,Body Care and Hygiene,Hand Sanitizer,4,6.28,830,2020-07-01,Credit Card - MasterCard,MasterCard,Scottsdale Fashion Square,Scottsdale,Arizona,US,Stephanie,Murphy,Female,69.0,1955-07-19,1.0,1586.0,6.0,1.0,2020-11-28,33.0,485.14,Wednesday,July,2020,2020Q3,0,209.88,6
3290,103290,Skin Care,Moisturizer,2,16.65,278,2021-09-02,Credit Card - MasterCard,MasterCard,Roosevelt Field,Garden City,New York,US,Brian,Foster,Male,51.0,1973-11-04,1.0,1790.0,1.0,1.0,2025-01-11,49.0,411.39,Thursday,September,2021,2021Q3,0,315.48,11
3291,103291,Oral Care,Toothpaste,1,5.81,282,2020-07-05,Google Pay,,Westfield Annapolis,Annapolis,Maryland,US,Christina,Todd,Male,66.0,1958-09-13,1.0,1310.0,6.0,0.0,2023-11-27,30.0,419.86,Sunday,July,2020,2020Q3,1,309.78999999999996,7
3292,103292,Skin Care,Lip Balm,2,46.46,517,2024-04-24,Google Pay,,The Galleria,Houston,Texas,US,David,Ferguson,Male,70.0,1954-03-16,1.0,1338.0,10.0,1.0,2021-10-16,21.0,496.17,Wednesday,April,2024,2024Q2,0,489.19,11
3293,103293,Skin Care,Sunscreen,2,90.04,520,2022-03-23,BNPL (Buy Now, Pay Later),Westfield London,London,England,UK,Mark,Brewer,Other,33.0,1991-06-05,0.0,1648.0,2.0,1.0,2024-02-02,35.0,417.26,Wednesday,March,2022,2022Q1,0,369.35,9
3294,103294,Body Care and Hygiene,Deodorant,1,19.1,767,2020-09-20,PayPal,,The Mall at Short Hills,Short Hills,New Jersey,US,Rebecca,Robinson,Male,29.0,1995-11-23,0.0,809.0,8.0,1.0,2023-07-04,46.0,241.21,Sunday,September,2020,2020Q3,1,187.95000000000002,7
3295,103295,Skin Care,Moisturizer,4,21.28,566,2020-09-25,Credit Card - AMEX,AMEX,Roosevelt Field,Garden City,New York,US,Michelle,West,Female,60.0,1964-07-25,0.0,1256.0,5.0,1.0,2021-09-29,36.0,199.03,Friday,September,2020,2020Q3,0,431.44,11
3296,103296,Skin Care,Sunscreen,3,69.71,562,2022-05-03,Debit Card - Visa,Visa,The Mall in Columbia,Columbia,Maryland,US,Patricia,Hernandez,Male,37.0,1987-10-29,0.0,1261.0,10.0,0.0,2023-04-26,36.0,425.71,Tuesday,May,2022,2022Q2,0,448.15,17
3297,103297,Hair Care,Conditioner,4,31.72,835,2024-06-13,Credit Card - AMEX,AMEX,The Trafford Centre,Manchester,Greater Manchester,UK,Natalie,Evans,Other,67.0,1957-09-07,1.0,1628.0,8.0,0.0,2023-02-22,3.0,105.31,Thursday,June,2024,2024Q2,0,425.3,13
3298,103298,Skin Care,Lip Balm,1,38.28,965,2023-11-24,Cash,,Bellevue Square,Bellevue,Washington,US,Maria,Wong,Male,63.0,1961-12-04,1.0,1776.0,8.0,0.0,2020-03-15,45.0,319.95,Friday,November,2023,2023Q4,0,333.56,11
3299,103299,Hair Care,Shampoo,4,5.78,404,2024-01-05,Cash,,The Florida Mall,Orlando,Florida,US,David,Avila,Other,70.0,1955-01-23,0.0,617.0,4.0,1.0,2024-07-06,45.0,18.07,Friday,January,2024,2024Q1,0,464.22,15
3300,103300,Body Care and Hygiene,Deodorant,2,22.24,1,2021-02-02,PayPal,,The Streets at Southpoint,Durham,North Carolina,US,Patricia,Macdonald,Female,51.0,1973-12-16,1.0,590.0,3.0,0.0,2022-03-10,49.0,453.22,Tuesday,February,2021,2021Q1,0,239.27,9
3301,103301,Body Care and Hygiene,Hand Sanitizer,4,9.72,548,2024-09-24,Apple Pay,,Stanford Shopping Center,Palo Alto,California,US,Melissa,Davis,Other,49.0,1975-04-08,1.0,465.0,2.0,0.0,2020-07-27,37.0,133.08,Tuesday,September,2024,2024Q3,0,154.26,12
3302,103302,Hair Care,Hair Oil,3,32.04,599,2022-08-21,PayPal,,Brookfield Place,New York,New York,US,Joshua,Williams,Male,57.0,1967-09-09,1.0,118.0,5.0,1.0,2025-01-15,36.0,61.77,Sunday,August,2022,2022Q3,1,172.54,8
3303,103303,Skin Care,Sunscreen,1,96.78,801,2020-04-23,Cash,,NorthPark Center,Dallas,Texas,US,Steven,Austin,Other,65.0,1960-01-03,0.0,326.0,7.0,1.0,2023-01-03,24.0,478.83,Thursday,April,2020,2020Q2,0,455.93,13
3304,103304,Skin Care,Sunscreen,2,87.4,723,2022-04-07,Apple Pay,,CambridgeSide,Cambridge,Massachusetts,US,Michael,Maxwell,Male,53.0,1972-01-21,0.0,532.0,9.0,1.0,2022-07-13,22.0,371.9,Thursday,April,2022,2022Q2,0,538.55,12
3305,103305,Skin Care,Lip Balm,4,57.66,2,2025-01-21,Debit Card - Visa,Visa,Fashion Show Mall,Las Vegas,Nevada,US,Destiny,Evans,Other,56.0,1968-07-13,0.0,648.0,4.0,0.0,2024-07-02,23.0,49.87,Tuesday,January,2025,2025Q1,0,292.96,8
3306,103306,Oral Care,Mouthwash,4,4.08,633,2022-01-07,Google Pay,,CambridgeSide,Cambridge,Massachusetts,US,Rebecca,Walker,Female,19.0,2006-01-01,0.0,1084.0,4.0,0.0,2021-02-03,3.0,262.66,Friday,January,2022,2022Q1,0,194.93,9
